version	tax_id	scientific_name	last_updated	base_count	accession
1	48269	Schistosoma margrebowiei	2022-12-26	394936775	GCA_944470205
2	6187	Schistosoma intercalatum	2023-02-09	386083432	GCA_944470365
1	6187	Schistosoma intercalatum	2022-12-26	386083432	GCA_944470365
2	393876	Schistosoma guineensis	2023-02-09	379339432	GCA_944470375
1	393876	Schistosoma guineensis	2022-12-27	379339432	GCA_944470375
2	6187	Schistosoma intercalatum	2023-02-09	382498898	GCA_944470385
1	6187	Schistosoma intercalatum	2022-12-27	382498898	GCA_944470385
2	1163369	Schistosoma turkestanicum	2023-02-09	425029217	GCA_944470395
1	1163369	Schistosoma turkestanicum	2022-12-26	425029217	GCA_944470395
2	31246	Schistosoma mattheei	2023-02-09	389351336	GCA_944470405
1	31246	Schistosoma mattheei	2022-12-26	389351336	GCA_944470405
2	6188	Schistosoma rodhaini	2023-02-09	388488086	GCA_944470415
1	6188	Schistosoma rodhaini	2022-12-26	388488086	GCA_944470415
2	6184	Schistosoma bovis	2023-02-09	391812492	GCA_944470425
1	6184	Schistosoma bovis	2022-12-27	391812492	GCA_944470425
2	6188	Schistosoma rodhaini	2023-02-09	413541355	GCA_944470435
1	6188	Schistosoma rodhaini	2022-11-18	413541355	GCA_944470435
2	6184	Schistosoma bovis	2023-02-09	406292391	GCA_944470445
1	6184	Schistosoma bovis	2022-12-27	406292391	GCA_944470445
2	6185	Schistosoma haematobium	2023-02-09	390696044	GCA_944470455
1	6185	Schistosoma haematobium	2022-12-27	390696044	GCA_944470455
2	6185	Schistosoma haematobium	2023-02-09	431589308	GCA_944470465
1	6185	Schistosoma haematobium	2022-11-18	431589308	GCA_944470465
2	39320	Heterobilharzia americana	2023-02-09	685355840	GCA_944470545
1	39320	Heterobilharzia americana	2022-12-27	685397562	GCA_944470545
2	39320	Heterobilharzia americana	2023-02-09	665588900	GCA_944470555
1	39320	Heterobilharzia americana	2022-11-18	665588900	GCA_944470555
2	157069	Trichobilharzia regenti	2023-02-09	954258533	GCA_944472135
1	157069	Trichobilharzia regenti	2022-12-27	954258533	GCA_944472135
2	157070	Trichobilharzia szidati	2023-02-09	1116403795	GCA_944472155
1	157070	Trichobilharzia szidati	2022-12-27	1116403795	GCA_944472155
2	57078	Dicrocoelium dendriticum	2023-02-09	1889995958	GCA_944474145
1	57078	Dicrocoelium dendriticum	2022-11-18	1889995958	GCA_944474145
3	6186	Schistosoma curassoni	2023-02-09	396952245	GCA_944474815
2	6186	Schistosoma curassoni	2023-02-09	396952245	GCA_944474815
1	6186	Schistosoma curassoni	2022-12-27	396952245	GCA_944474815
1	85431	Taenia hydatigena	2024-04-28	107408190	GCA_038659305
1	198605	Diplostomum indistinctum	2024-07-29	505484296	GCA_040967495
1	198606	Diplostomum huronense	2024-07-30	602144624	GCA_040967515
1	235145	Clinostomum complanatum	2024-07-30	336038116	GCA_040967615
1	1844966	Cichlidogyrus casuarinus	2024-12-04	67547427	GCA_045687925
1	6211	Echinococcus multilocularis	2025-09-08	111412176	GCA_052522705
1	6210	Echinococcus granulosus	2025-09-08	140422261	GCA_052523205
1	519352	Echinococcus canadensis	2025-09-08	127330992	GCA_052523225
1	260967	Echinococcus shiquicus	2025-09-08	110718742	GCA_052523245
1	911534	Hymenolepis weldensis	2025-11-18	159804829	GCA_053525275
1	64606	Sparganum proliferum	2025-12-03	680796419	GCA_053814205
1	218192	Anoplocephala perfoliata	2026-02-02	372309905	GCA_054883415
1	6192	Fasciola hepatica	2023-01-02	1203652780	GCA_900302435
1	53468	Mesocestoides corti	2018-12-28	117181740	GCA_900604375
1	60516	Dibothriocephalus latus	2018-12-28	531434409	GCA_900617775
1	117903	Protopolystoma xenopodis	2019-02-19	617344661	GCA_900617795
1	102285	Rodentolepis nana	2022-11-07	162943536	GCA_900617975
1	31246	Schistosoma mattheei	2018-12-14	340818150	GCA_900617995
1	60517	Taenia asiatica	2018-12-28	135977618	GCA_900618005
1	6186	Schistosoma curassoni	2018-12-28	344202215	GCA_900618015
1	48269	Schistosoma margrebowiei	2018-12-28	367396528	GCA_900618395
1	27848	Echinostoma caproni	2019-08-15	834556378	GCA_900618425
1	70667	Schistocephalus solidus	2019-08-15	539424504	GCA_900618435
1	6216	Hymenolepis diminuta	2018-12-28	165878914	GCA_900618445
1	157069	Trichobilharzia regenti	2018-12-28	701762036	GCA_900618515
1	6205	Hydatigera taeniaeformis	2018-12-28	103664560	GCA_900622495
1	6212	Echinococcus oligarthrus	2019-07-28	105959096	GCA_900683695
1	6216	Hymenolepis diminuta	2019-08-07	177074070	GCA_902177915
1	2291463	Prostheceraeus crozeri	2022-07-17	2065465794	GCA_907163375
1	6186	Schistosoma curassoni	2021-08-03	396952245	GCA_907275115
1	6189	Schistosoma spindalis	2024-12-06	390101833	GCA_946903255
2	6192	Fasciola hepatica	2024-11-08	1506673460	GCA_948099385
1	6192	Fasciola hepatica	2024-01-11	1506673460	GCA_948099385
1	2559711	Macrostomum cliftonense	2023-06-03	226746154	GCA_950096795
1	683711	Macrostomum hystrix	2023-06-03	220453370	GCA_950097015
1	50054	Schmidtea polychroa	2023-10-06	434298389	GCA_959609185
1	6198	Opisthorchis viverrini	2024-08-06	691284973	GCA_964213135
1	6198	Opisthorchis viverrini	2024-08-06	627202088	GCA_964213165
1	300641	Calicophoron daubneyi	2024-09-05	1761193519	GCA_964258995
1	983666	Pseudobiceros splendidus	2025-04-05	3206888424	GCA_965235105
1	2136291	Obrimoposthia wandeli	2025-11-25	15060	GCA_977020185
1	2136291	Obrimoposthia wandeli	2025-11-11	1350614106	GCA_977020255
1	56557	Triaenophorus nodulosus	2025-12-19	13858	GCA_977118325
1	56557	Triaenophorus nodulosus	2026-02-05	713084067	GCA_977118345
1	56557	Triaenophorus nodulosus	2026-02-05	682246441	GCA_977118355
