accession	description	tax_id	sub_species	base_count	first_public
AY750141	Drosophila bai alcohol dehydrogenase (Adh) gene, partial cds.	311478		911	2005-12-31
DQ471635	Drosophila quadrisetata alcohol dehydrogenase (Adh) gene, partial cds.	381471		711	2006-07-20
DQ471637	Drosophila velox alcohol dehydrogenase (Adh) gene, partial cds.	381475		711	2006-07-20
DQ471663	Drosophila lummei alcohol dehydrogenase (Adh) gene, partial cds.	40371		711	2006-07-20
M60998	Drosophila miranda alcohol dehydrogenase (adh) gene, complete cds.	7229		3461	1992-04-30
U26841	Drosophila lacicola alcohol dehydrogenase (Adh) gene, complete cds.	40369		957	1995-06-30
U26844	Drosophila texana alcohol dehydrogenase (Adh) gene, complete cds.	40372		950	1995-07-05
GQ376033	Drosophila bunnanda alcohol dehydrogenase (ADH) gene, partial cds.	244254		410	2009-08-02
AB261139	Drosophila guttifera Adh gene for alcohol dehydrogenase, partial cds.	66368		845	2007-11-03
AB932657	Drosophila ornatifrons Adh gene for alcohol dehydrogenase, partial cds.	30031		824	2014-10-26
AB932665	Drosophila orientacea Adh gene for alcohol dehydrogenase, partial cds.	119223		857	2015-01-14
AB932675	Drosophila subpalustris Adh gene for alcohol dehydrogenase, partial cds.	95625		849	2014-10-26
U95253	Drosophila willistoni W3L alcohol dehydrogenase (Adh) gene, complete cds.	7260		1172	1999-01-06
X57375	Drosophila yakuba (individual k) Adh gene for alcohol dehydrogenase	7245		975	1991-07-17
AB033643	Drosophila funebris Adh mRNA for alcohol dehydrogenase, partial cds.	7221		711	1999-11-16
AB932649	Drosophila brachynephros Adh gene for alcohol dehydrogenase, partial cds.	106246		1100	2015-01-14
M37262	D.affinidisjuncta alcohol dehydrogenase (adh) gene, exons 1-4.	7262		3886	1990-09-07
U26846	Drosophila virilis alcohol dehydrogenase (Adh-1) gene, complete cds.	7244		13087	1995-06-22
U76468	Drosophila eohydei alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	54075		899	1996-11-19
X57369	Drosophila yakuba (individual e) Adh gene for alcohol dehydrogenase	7245		975	1991-07-17
AB932658	Drosophila guttifera Adh gene for alcohol dehydrogenase, partial cds.	66368		845	2014-10-26
AB932667	Drosophila phalerata Adh gene for alcohol dehydrogenase, partial cds.	7283		822	2014-10-26
AF260697	Drosophila mulleri alcohol dehydrogenase-related protein gene, partial cds.	7231		463	2000-09-20
EU532132	Drosophila tropicalis cubana alcohol dehydrogenase (Adh) gene, partial cds.	529087	cubana	590	2010-01-21
AB033641	Drosophila polychaeta Adh mRNA for alcohol dehydrogenase, partial cds.	30041		711	1999-11-16
AB932656	Drosophila funebris Adh gene for alcohol dehydrogenase, partial cds.	7221		845	2014-10-26
EU532131	Drosophila tropicalis tropicalis alcohol dehydrogenase (Adh) gene, partial cds.	529088	tropicalis	560	2010-01-21
KM016466	Drosophila simulans isolate KY03 alcohol dehydrogenase-related gene, intron.	7240		476	2014-09-24
LC578831	Drosophila palustris Adh gene for alcohol dehydrogenase, partial cds.	95623		706	2022-04-03
U26840	Drosophila lacicola alcohol dehydrogenase (Adh-2) gene, complete cds.	40369		957	1995-06-30
X57373	Drosophila yakuba (individual i) Adh gene for alcohol dehydrogenase	7245		975	1991-07-17
U95255	Drosophila willistoni Atlixco alcohol dehydrogenase (Adh) gene, complete cds.	7260		1174	1999-01-06
AB154542	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh01.	30033		683	2004-04-01
AB154550	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh09.	30033		686	2004-04-01
AB154556	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh15.	30033		686	2004-04-01
AF284479	Drosophila mauritiana strain Lig74 alcohol dehydrogenase (Adh) gene, partial cds.	7226		703	2000-11-02
AY335197	Drosophila sucinea clone Dsuc3 alcohol dehydrogenase (Adh) gene, partial cds.	46791		781	2003-12-31
DQ471615	Drosophila angor strain E132 alcohol dehydrogenase (Adh) gene, partial cds.	381448		711	2006-07-20
EU532127	Drosophila paulistorum from Guyana alcohol dehydrogenase (Adh) gene, partial cds.	46793		587	2010-01-21
JX455218	Drosophila simulans isolate HW49 alcohol dehydrogenase (Adhr) gene, intron 1.	7240		480	2012-09-03
KX976502	Drosophila yakuba isolate Yakuba_Anton_2_Principe alcohol dehydrogenase (Adh) mRNA, complete cds.	7245		771	2016-11-12
U95261	Drosophila willistoni Manaus I alcohol dehydrogenase (Adh) gene, complete cds.	7260		1172	1999-01-06
AF201430	Drosophila simulans isolate HW00 alcohol dehydrogenase (Adhr) gene, intron 1.	7240		480	2000-07-03
AF284475	Drosophila mauritiana strain 152 alcohol dehydrogenase (Adh) gene, partial cds.	7226		701	2000-11-02
AY095949	Drosophila phalerata isolate pha3 alcohol dehydrogenase (Adh) gene, partial cds.	7283		430	2003-05-01
DQ471650	Drosophila yunnanensis strain 244 alcohol dehydrogenase (Adh) gene, partial cds.	311475		711	2006-07-20
HQ110510	Drosophila nebulosa isolate D_nebu_c2 alcohol dehydrogenase (Adh) gene, partial cds.	7271		794	2011-05-06
M22210	D.melanogaster thermostable FAST alcohol dehydrogenase allele gene, complete cds.	7227		2075	1991-07-01
X78917	D.melanogaster Adh gene (fn46 mutant) for alcohol dehydrogenase (partial)	7227		96	1994-05-03
EU532130	Drosophila paulistorum from Colombia alcohol dehydrogenase (Adh) gene, partial cds.	46793		588	2010-01-21
HQ110509	Drosophila nebulosa isolate D_nebu_c1 alcohol dehydrogenase (Adh) gene, partial cds.	7271		794	2011-05-06
JX455217	Drosophila simulans isolate HW48 alcohol dehydrogenase (Adhr) gene, intron 1.	7240		480	2012-09-03
KX976498	Drosophila yakuba isolate Yakuba_SanTome_city alcohol dehydrogenase (Adh) mRNA, complete cds.	7245		771	2016-11-12
M62851	D.wheeleri alcohol dehydrogenase-2 (ADH-2) gene, complete cds.	7277		924	1991-04-10
X60112	D.madeirensis Adh and Adh-dup genes for alcohol dehydrogenase	30013		3881	1993-08-25
AB154560	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh19.	30033		683	2004-04-01
AY095944	Drosophila curvispina isolate cur4 alcohol dehydrogenase (Adh) gene, partial cds.	126591		443	2003-05-01
DQ471626	Drosophila polychaeta strain X115 alcohol dehydrogenase (Adh) gene, partial cds.	30041		711	2006-07-20
DQ471651	Drosophila lacertosa strain 239 alcohol dehydrogenase (Adh) gene, partial cds.	119604		711	2006-07-20
JX455214	Drosophila simulans isolate HW05 alcohol dehydrogenase (Adhr) gene, intron 1.	7240		480	2012-09-03
KX375415	Drosophila biarmipes strain IND_DBR_U4 alcohol dehydrogenase (Adh) gene, complete cds.	125945		1022	2017-01-03
KX976487	Drosophila yakuba isolate Yakuba_SJ_1 alcohol dehydrogenase (Adh) mRNA, complete cds.	7245		771	2016-11-12
KX976488	Drosophila yakuba isolate Yakuba_SJ4 alcohol dehydrogenase (Adh) mRNA, complete cds.	7245		771	2016-11-12
KX976507	Drosophila yakuba isolate Yakuba_BAR_1000_2 alcohol dehydrogenase (Adh) mRNA, complete cds.	7245		771	2016-11-12
KX976516	Drosophila yakuba isolate Yakuba_1_6 alcohol dehydrogenase (Adh) mRNA, complete cds.	7245		771	2016-11-12
KX976517	Drosophila yakuba isolate Yakuba_3_2 alcohol dehydrogenase (Adh) mRNA, complete cds.	7245		771	2016-11-12
M60979	Drosophila pseudoobscura (strain AH43) alcohol dehydrogenase (adh) gene, complete cds.	7237		3481	1992-04-30
M62741	D.arizonae alcohol dehydrogenase-2 (ADH-2) gene, complete cds.	7263		909	1991-07-11
U95262	Drosophila willistoni Manaus II alcohol dehydrogenase (Adh) gene, complete cds.	7260		1172	1999-01-06
X60113	D.guanche Adh and Adh-dup genes for alcohol dehydrogenase	7266		4433	1993-08-25
U95264	Drosophila willistoni Manaus IV alcohol dehydrogenase (Adh) gene, complete cds.	7260		1172	1999-01-06
AB669832	Drosophila neoasahinai Adh gene for alcohol dehydrogenase, partial cds, strain: OKNH2K.	1084812		837	2014-01-02
AB669851	Drosophila jambulina Adh gene for alcohol dehydrogenase, partial cds, strain: F76.	111875		831	2014-01-02
AB669866	Drosophila leontia Adh gene for alcohol dehydrogenase, partial cds, strain: SWB196.	109356		832	2014-01-02
AF136657	Drosophila americana americana G96.36X alcohol dehydrogenase (Adh) gene, partial cds.	95109	americana	884	1999-06-03
AF175219	Drosophila melanogaster alcohol dehydrogenase (Adh) gene, Adh-k37 allele, complete cds.	7227		951	1999-10-06
AF459757	Drosophila greeni alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	114631		290	2002-05-16
L78920	Drosophila mimica (strain 15292-2561.0) alcohol dehydrogenase gene, partial cds.	7270		822	1996-06-25
M97638	Drosophila immigrans alcohol dehydrogenase (Adh and Adh-dup) genes, complete cds.	7250		3142	1993-06-05
AB669826	Drosophila auraria Adh gene for alcohol dehydrogenase, partial cds, strain: A662.	47315		843	2014-01-02
AB669831	Drosophila neoasahinai Adh gene for alcohol dehydrogenase, partial cds, strain: KMJM37.	1084812		838	2014-01-02
AF136662	Drosophila americana americana G96.46X alcohol dehydrogenase (Adh) gene, partial cds.	95109	americana	884	1999-06-03
AF459770	Drosophila birchii alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	46829		290	2002-05-16
AF459776	Drosophila tsacasi alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	34677		290	2002-05-16
AF459777	Drosophila baimaii alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	137353		290	2002-05-16
EF216311	Drosophila microlabis alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	7281		370	2007-06-10
KJ767238	Drosophila melanogaster strain Canton S alcohol dehydrogenase (Adh) gene, partial cds.	7227		872	2014-09-04
L78925	Drosophila mimica (strain 15292-2561.5) alcohol dehydrogenase gene, partial cds.	7270		822	1996-06-25
U64530	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS254 allele, complete cds.	7237		3456	1996-08-16
AB669836	Drosophila subauraria Adh gene for alcohol dehydrogenase, partial cds, strain: KT4.	137068		842	2014-01-02
AB669837	Drosophila subauraria Adh gene for alcohol dehydrogenase, partial cds, strain: ONM29.	137068		842	2014-01-02
AB669846	Drosophila seguyi Adh gene for alcohol dehydrogenase, partial cds, strain: K59.	73917		835	2014-01-02
AB669854	Drosophila punjabiensis Adh gene for alcohol dehydrogenase, partial cds, strain: NHO122.	60717		836	2014-01-02
AB669856	Drosophila watanabei Adh gene for alcohol dehydrogenase, partial cds, strain: SWB248.	94109		826	2014-01-02
AF136685	Drosophila americana americana G96.36Y alcohol dehydrogenase (Adh) gene, partial cds.	95109	americana	884	1999-06-03
AF136690	Drosophila americana americana G96.48Y alcohol dehydrogenase (Adh) gene, partial cds.	95109	americana	884	1999-06-03
AF136691	Drosophila americana americana G96.10Y alcohol dehydrogenase (Adh) gene, partial cds.	95109	americana	884	1999-06-03
AF459769	Drosophila barbarae alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	137354		290	2002-05-16
AF459778	Drosophila biauraria alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	73155		290	2002-05-16
EF560578	Drosophila viracochi pop-variant Bogota alcohol dehydrogenase (adh) gene, partial cds.	306030		624	2008-05-01
U64552	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS336 allele, complete cds.	7237		3490	1996-08-16
AB669869	Drosophila ogumai Adh gene for alcohol dehydrogenase, partial cds, strain: RGN3.	307244		837	2014-01-02
AB669871	Drosophila ohnishii Adh gene for alcohol dehydrogenase, partial cds, strain: MMY309.	307242		844	2014-01-02
AB669879	Drosophila serrata Adh gene for alcohol dehydrogenase, partial cds, strain: Q122.	7274		839	2014-01-02
AF136669	Drosophila americana americana G96.27X alcohol dehydrogenase (Adh) gene, partial cds.	95109	americana	884	1999-06-03
AF136680	Drosophila americana americana G96.21Y alcohol dehydrogenase (Adh) gene, partial cds.	95109	americana	884	1999-06-03
AF136707	Drosophila americana texana LP97.07 alcohol dehydrogenase (Adh) gene, partial cds.	40372	texana	884	1999-06-03
AF175214	Drosophila melanogaster alcohol dehydrogenase (Adh) gene, Adh-h21 allele, complete cds.	7227		951	1999-10-06
AF201424	Drosophila melanogaster isolate Zimbabwe 53 alcohol dehydrogenase (Adhr) gene, intron 1.	7227		494	2000-07-03
AF459744	Drosophila affinis alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	7246		290	2002-05-16
AF459755	Drosophila varians alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	30050		290	2002-05-16
AF459773	Drosophila quadraria alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	67532		290	2002-05-16
AF459779	Drosophila kanapiae alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	137072		290	2002-05-16
AF459782	Drosophila parvula alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	137077		290	2002-05-16
AM181670	Drosophila gunungcola partial adh gene for alcohol dehydrogenase, exons 1-3	103775		628	2006-02-15
EU999243	Drosophila americana isolate FP99.45 alcohol dehydrogenase (Adh) gene, partial cds.	40366		845	2008-09-09
L78921	Drosophila mimica (strain 15292-2561.1) alcohol dehydrogenase gene, partial cds.	7270		822	1996-06-25
U64525	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS236 allele, complete cds.	7237		3472	1996-08-16
U64534	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS268 allele, complete cds.	7237		3477	1996-08-16
U64540	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS296 allele, complete cds.	7237		3475	1996-08-16
U64541	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS301 allele, complete cds.	7237		3500	1996-08-16
U76472	Drosophila hydei strain 4 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	7224		897	1996-11-19
AF136679	Drosophila americana americana D.am-.0Y alcohol dehydrogenase (Adh) gene, partial cds.	95109	americana	884	1999-06-03
AY541091	Drosophila innubila strain CH1_M4 alcohol dehydrogenase-related protein (Adhr) gene, partial cds.	198719		555	2004-12-13
AY541213	Drosophila falleni strain Roc_M3 alcohol dehydrogenase-related protein (Adhr) gene, partial cds.	7279		554	2005-03-01
LC057204	Drosophila sp. 14028-0511.00 Adh gene for alcohol dehydrogenase, partial cds.	1660392		838	2019-06-04
AY364507	Drosophila mojavensis strain MJS 133 alcohol dehydrogenase 1 (Adh1) gene, complete cds.	7230		880	2004-01-30
AY541090	Drosophila innubila strain CH1_M3 alcohol dehydrogenase-related protein (Adhr) gene, partial cds.	198719		555	2004-12-13
AY541092	Drosophila innubila strain CH2_M25 alcohol dehydrogenase-related protein (Adhr) gene, partial cds.	198719		555	2004-12-13
M60989	Drosophila pseudoobscura (subsp. bogotana, strain BOGER) alcohol dehydrogenase (adh) gene, complete cds.	46244	bogotana	3479	1992-01-26
AB669860	Drosophila bocki Adh gene for alcohol dehydrogenase, partial cds, strain: IR2-37.	103765		831	2014-01-02
AB703315	Drosophila affinis Adh gene for alcohol dehydrogenase, partial cds, clone: D.affinis.	7246		405	2012-03-18
AY340282	Drosophila americana pop-variant DN01.02X alcohol dehydrogenase (Adh) gene, partial cds.	40366		881	2003-08-13
AY364498	Drosophila mojavensis strain MJS 93 alcohol dehydrogenase 1 (Adh1) gene, complete cds.	7230		880	2004-01-30
AY364517	Drosophila mojavensis strain MJS 122 alcohol dehydrogenase-2 (Adh2) gene, complete cds.	7230		879	2004-01-30
AY541098	Drosophila innubila strain CH3_M78 alcohol dehydrogenase-related protein (Adhr) gene, partial cds.	198719		555	2004-12-13
AY541099	Drosophila innubila strain CH4_M1 alcohol dehydrogenase-related protein (Adhr) gene, partial cds.	198719		555	2004-12-13
EF216310	Drosophila dianensis alcohol dehydrogenase (Adh) gene, exons 2, 3 and partial cds.	426742		429	2007-06-10
AB669867	Drosophila lini Adh gene for alcohol dehydrogenase, partial cds, strain: BG3146.1.	74550		844	2014-01-02
AB669884	Drosophila fengkainensis Adh gene for alcohol dehydrogenase, partial cds, strain: const-MTK.	1084936		841	2014-01-02
AB669893	Drosophila truncata Adh gene for alcohol dehydrogenase, partial cds, strain: RGN10 D225.	137078		830	2014-01-02
AH011593	Drosophila eugracilis strain 4026-0451.0 alcohol dehydrogenase (Adh) gene, partial cds.	29029		566	2016-04-08
AY340281	Drosophila americana pop-variant DN01.01X alcohol dehydrogenase (Adh) gene, partial cds.	40366		881	2003-08-13
AY364496	Drosophila mojavensis strain MJS 68 alcohol dehydrogenase 1 (Adh1) gene, complete cds.	7230		880	2004-01-30
AY364518	Drosophila mojavensis strain MJS 154 alcohol dehydrogenase-2 (Adh2) gene, complete cds.	7230		879	2004-01-30
AY541094	Drosophila innubila strain CH2_M4 alcohol dehydrogenase-related protein (Adhr) gene, partial cds.	198719		522	2004-12-13
AY874363	Drosophila subobscura strain line 3a alcohol dehydrogenase (Adh-Twain) gene, partial cds.	7241		1425	2005-05-31
AY874375	Drosophila subobscura strain line 36 alcohol dehydrogenase (Adh-Twain) gene, partial cds.	7241		1406	2005-05-31
KJ767241	Drosophila simulans strain 14021-0251.167 alcohol dehydrogenase (Adh) gene, partial cds.	7240		868	2014-09-04
LC057199	Drosophila trilutea Adh gene for alcohol dehydrogenase, partial cds, strain: VT05-ST.	94114		831	2019-06-04
U76482	Drosophila mulleri strain -1371.19 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	7231		902	1997-03-06
X54813	D.ambigua gene for alcohol dehydrogenase (ADH) (EC 1.1.1.1)	7216		4185	1991-07-23
AY154850	Drosophila arizonae strain AR00 14 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	7263		878	2003-03-03
AY154861	Drosophila arizonae strain ARTU 34 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7263		880	2003-03-03
AB669842	Drosophila greeni Adh gene for alcohol dehydrogenase, partial cds, strain: 14028-0712.00.	114631		830	2014-01-02
AY044122	Drosophila annulipes alcohol dehydrogenase (Adh) gene, exons 2 and 3 and partial cds.	157053		722	2002-08-06
AY044126	Drosophila albomicans alcohol dehydrogenase (Adh) gene, exons 2 and 3 and partial cds.	7291		725	2002-08-06
LC057198	Drosophila takahashii Adh gene for alcohol dehydrogenase, partial cds, strain: 14022-0311.06.	29030		830	2019-06-04
M17831	D.melanogaster (strain Fl-2S) alcohol dehydrogenase gene (allele Adh-S), complete cds.	7227		2726	1991-07-01
M17834	D.melanogaster (strain Fr-F) alcohol dehydrogenase gene (allele Adh-F), complete cds.	7227		2769	1991-07-01
AB669862	Drosophila diplacantha Adh gene for alcohol dehydrogenase, partial cds, strain: 14028-0586.00.	61426		829	2014-01-02
AB669885	Drosophila kanapiae Adh gene for alcohol dehydrogenase, partial cds, strain: 14028-0541.00.	137072		838	2014-01-02
AY154847	Drosophila arizonae strain AR00 1 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	7263		878	2003-03-03
AY154855	Drosophila arizonae strain AR00 6 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7263		880	2003-03-03
AY154857	Drosophila arizonae strain AR00 14 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7263		880	2003-03-03
M17837	D.melanogaster (strain Ja-F) alcohol dehydrogenase gene (allele Adh-F), complete cds.	7227		7242	1991-07-01
AB932668	Drosophila polymorpha Adh gene for alcohol dehydrogenase, partial cds, strain: 15181-2231.00.	133991		833	2014-10-26
AB932670	Drosophila quinaria Adh gene for alcohol dehydrogenase, partial cds, strain: E-17701-1.	95624		851	2014-10-26
AF067282	Drosophila helvetica alcohol dehydrogenase (Adh) gene, exons 2 and 3 and partial cds.	77129		437	1998-07-02
AY154860	Drosophila arizonae strain ARTU 24 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7263		880	2003-03-03
AY154869	Drosophila mojavensis strain MJBC 80 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	7230		880	2003-03-03
DQ471609	Drosophila cf. cheda BCW-2006 strain 241 alcohol dehydrogenase (Adh) gene, partial cds.	381457		711	2006-07-20
M60990	Drosophila pseudoobscura bogotana strain BOG 3389.1 alcohol dehydrogenase (adh) gene, complete cds.	46244	bogotana	3472	1992-04-30
AF045115	Drosophila sturtevanti strain 14043-0871.2 alcohol dehydrogenase (Adh) gene, exon2 and partial cds.	30047		405	1998-06-02
AY165517	Drosophila americana alcohol dehydrogenase (Adh) gene, exons 1, 2, and 3 and partial cds.	40366		743	2003-04-22
AF045122	Drosophila lusaltans strain 14045-0891.0 alcohol dehydrogenase (Adh) gene, exon2 and partial cds.	72470		405	1998-06-02
AY154829	Drosophila mojavensis strain MJBC 35.1 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7230		880	2003-03-03
AY154838	Drosophila mojavensis strain MJBC 202.2 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7230		880	2003-03-03
AY154870	Drosophila mojavensis strain MJBC 95.1 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	7230		879	2003-03-03
AY754433	Drosophila affinis alcohol dehydrogenase-like protein (Adh-r) gene, exons 2, 3 and partial cds.	7246		740	2005-04-04
AF348882	Drosophila triauraria strain WWJ alcohol dehydrogenase (adh) gene, exons 2, 3 and 4, and partial cds.	67534		667	2001-04-16
AF348883	Drosophila quadraria strain NIG alcohol dehydrogenase (adh) gene, exons 2, 3 and 4, and partial cds.	67532		667	2001-04-16
CK131244	GH25181.3prime GH Drosophila melanogaster head pOT2 Drosophila melanogaster cDNA clone GH25181 3 similar to Adh: FBan0003481 GO:[ethanol oxidation (GO:0006069) alcohol dehydrogenase (GO:0004022) alcohol dehydrogenase (GO:0004022)] located on: 2L 35B3-35B3 : 08/14/2002, mRNA sequence.	7227		503	2003-12-03
AB194414	Drosophila parabipectinata osp, siren1, siren2, Adh, Adhr genes for hypothetical proteins, alcohol dehydrogenase, hypothetical protein, partial and complete cds.	186283		17499	2005-05-07
CV784997	zaa07e12.x2 D yakuba testes cDNA Drosophila yakuba cDNA 3' similar to SW:ADH_DROME P00334 ALCOHOL DEHYDROGENASE , mRNA sequence.	7245		542	2004-11-12
CV850204	zaa68d07.x1 D yakuba testes cDNA Drosophila yakuba cDNA 3' similar to SW:ADH_DROME P00334 ALCOHOL DEHYDROGENASE , mRNA sequence.	7245		193	2004-11-19
CV043184	dba16c04.y1 Drosophila simulans testis pSport1 library Drosophila simulans cDNA 5' similar to SW:ADH_DROSI P07163 ALCOHOL DEHYDROGENASE , mRNA sequence.	7240		393	2004-08-24
CV528161	dba57a04.y1 Drosophila simulans testis pSport1 library Drosophila simulans cDNA 5' similar to SW:ADHX_DROME P46415 ALCOHOL DEHYDROGENASE CLASS III , mRNA sequence.	7240		384	2004-10-08
AY695386	Drosophila cardini alcohol dehydrogenase (Adh) gene, exons 1 through 3 and partial cds Adh-Adhr intergenic spacer, complete sequence and ADHR (Adhr) gene, exon 1 and partial cds.	133981		1133	2006-08-01
BG632098	GH03334.3prime GH Drosophila melanogaster head pOT2 Drosophila melanogaster cDNA clone GH03334 3 similar to CG4796: FBan0004796 'alcohol dehydrogenase, iron-dependent' located on: 3R 86D6-86D7 : 04/10/2001, mRNA sequence.	7227		798	2001-04-28
BF486174	AT20387.5prime AT Drosophila melanogaster adult testes pOTB7 Drosophila melanogaster cDNA clone AT20387 5 similar to CG5590: FBan0005590 'alcohol dehydrogenase, iron-dependent' located on: 3R 98A6-98A6 : 04/09/2001, mRNA sequence.	7227		816	2000-12-07
BI608471	RH13023.5prime RH Drosophila melanogaster normalized Head pFlc-1 Drosophila melanogaster cDNA clone RH13023 5 similar to CG2767: FBan0002767 GO:[alcohol dehydrogenase (NADP+) (GO:0008106)] located on: 3R 84E5-84E5 : 08/16/2001, mRNA sequence.	7227		530	2001-09-10
